no_of_adults;no_of_children;no_of_weekend_nights;no_of_week_nights;required_car_parking_space;room_type_reserved;lead_time;arrival_month;arrival_date;repeated_guest;no_of_previous_cancellations;no_of_previous_bookings_not_canceled;avg_price_per_room;no_of_special_requests;booking_status
2;0;1;1;0;Room_Type 1;41;6;27;0;0;0;98.1;1;Canceled
2;0;0;4;0;Room_Type 4;55;11;18;0;0;0;60;1;Not_Canceled
2;0;0;3;0;Room_Type 1;146;12;29;0;0;0;75;0;Not_Canceled
1;0;0;2;0;Room_Type 1;32;11;20;0;0;0;73;0;Not_Canceled
2;0;0;1;0;Room_Type 1;55;4;6;0;0;0;104;0;Not_Canceled
2;0;0;4;0;Room_Type 1;57;11;1;0;0;0;79.2;1;Not_Canceled
1;0;1;3;0;Room_Type 4;7;12;29;0;0;0;125.8;2;Not_Canceled
1;0;2;5;0;Room_Type 1;124;5;30;0;0;0;87.95;0;Not_Canceled
2;0;2;2;0;Room_Type 1;169;4;22;0;0;0;106;0;Canceled
1;0;1;2;0;Room_Type 1;6;5;16;0;0;0;136.67;1;Not_Canceled
2;0;0;4;0;Room_Type 4;51;11;11;0;0;0;60;1;Not_Canceled
2;0;1;0;0;Room_Type 1;13;6;13;0;0;0;89;2;Not_Canceled
2;0;1;3;0;Room_Type 1;100;5;19;0;0;0;136;1;Not_Canceled
2;0;0;1;0;Room_Type 1;139;7;28;0;0;0;94.5;1;Not_Canceled
2;0;1;2;0;Room_Type 1;117;12;26;0;0;0;93.6;2;Not_Canceled
2;0;1;4;0;Room_Type 4;39;4;20;0;0;0;120.6;0;Canceled
2;0;0;3;0;Room_Type 4;86;4;6;0;0;0;99.3;1;Not_Canceled
2;2;0;1;1;Room_Type 6;2;9;2;0;0;0;258;1;Not_Canceled
1;0;0;3;0;Room_Type 4;19;5;3;0;0;0;120.12;2;Not_Canceled
1;0;0;2;0;Room_Type 1;192;6;24;0;0;0;95;0;Not_Canceled
1;0;0;1;0;Room_Type 1;2;9;10;0;0;0;0;1;Not_Canceled
2;0;2;1;0;Room_Type 1;86;12;18;0;0;0;75;0;Not_Canceled
2;0;0;3;0;Room_Type 4;30;10;5;0;0;0;157.5;2;Not_Canceled
2;0;0;2;0;Room_Type 4;179;6;3;0;0;0;97.7;1;Not_Canceled
2;0;0;2;0;Room_Type 4;26;4;15;0;0;0;142;0;Canceled
2;0;0;1;0;Room_Type 1;55;4;6;0;0;0;80;0;Not_Canceled
2;0;1;2;0;Room_Type 1;74;4;25;0;0;0;85.5;1;Not_Canceled
2;0;0;3;0;Room_Type 1;143;8;25;0;0;0;100;0;Not_Canceled
2;0;1;0;0;Room_Type 1;34;11;14;0;0;0;88;2;Not_Canceled
2;0;1;1;1;Room_Type 1;30;8;29;0;0;0;122.85;1;Not_Canceled
2;0;0;2;0;Room_Type 1;177;6;3;0;0;0;100;0;Canceled
2;0;2;3;0;Room_Type 4;34;10;25;0;0;0;75;0;Not_Canceled
2;0;1;4;0;Room_Type 4;18;3;9;0;0;0;116.8;1;Not_Canceled
3;0;1;1;0;Room_Type 4;267;12;31;0;0;0;121.5;0;Not_Canceled
2;0;1;2;0;Room_Type 1;64;6;27;0;0;0;111.9;1;Not_Canceled
3;0;2;5;0;Room_Type 4;155;6;28;0;0;0;121.55;2;Canceled
2;0;0;5;0;Room_Type 1;46;3;29;0;0;0;75;1;Not_Canceled
2;2;0;2;0;Room_Type 6;83;4;1;0;0;0;159.3;0;Canceled
2;0;0;5;0;Room_Type 4;128;10;11;0;0;0;132.3;0;Canceled
2;0;2;0;0;Room_Type 1;20;12;25;0;0;0;88;2;Not_Canceled
2;0;1;4;0;Room_Type 4;40;3;14;0;0;0;98.82;0;Not_Canceled
2;0;1;2;1;Room_Type 4;46;3;4;0;0;0;98.3;1;Not_Canceled
1;0;1;0;0;Room_Type 1;1;10;17;0;0;0;150;2;Not_Canceled
2;0;2;3;0;Room_Type 1;196;9;4;0;0;0;96.05;1;Not_Canceled
1;0;0;2;0;Room_Type 1;188;6;15;0;0;0;130;0;Canceled
2;0;0;1;0;Room_Type 1;17;12;10;1;0;5;95;0;Not_Canceled
2;0;0;3;0;Room_Type 5;146;8;9;0;0;0;113.56;0;Not_Canceled
2;0;1;3;0;Room_Type 1;110;5;5;0;0;0;101.58;1;Not_Canceled
2;0;1;2;1;Room_Type 1;68;3;18;0;0;0;105.3;0;Not_Canceled
2;0;2;1;0;Room_Type 4;73;4;9;0;0;0;115.8;1;Not_Canceled
2;0;0;1;0;Room_Type 4;92;5;19;0;0;0;149.4;1;Not_Canceled
2;0;2;5;0;Room_Type 1;171;8;30;0;0;0;111.59;0;Canceled
2;1;0;2;1;Room_Type 1;134;8;4;0;0;0;130.5;2;Not_Canceled
2;0;0;2;0;Room_Type 1;320;8;18;0;0;0;115;1;Canceled
2;0;0;4;0;Room_Type 1;118;4;13;0;0;0;90.95;1;Not_Canceled
2;0;0;3;0;Room_Type 1;30;11;17;0;0;0;76.08;1;Not_Canceled
2;2;1;3;0;Room_Type 6;30;12;22;0;0;0;156.9;0;Not_Canceled
2;0;1;0;0;Room_Type 1;189;10;23;0;0;0;85.5;2;Not_Canceled
3;0;1;2;0;Room_Type 4;55;5;13;0;0;0;159.3;2;Not_Canceled
1;0;0;4;0;Room_Type 1;55;12;13;0;0;0;74.8;2;Not_Canceled
2;0;0;1;0;Room_Type 1;16;10;31;0;0;0;95;1;Not_Canceled
2;0;0;3;0;Room_Type 1;24;10;8;0;0;0;107;1;Not_Canceled
2;0;0;3;0;Room_Type 1;8;2;16;0;0;0;64;0;Not_Canceled
2;0;1;4;1;Room_Type 1;10;11;2;0;0;0;82.95;0;Not_Canceled
2;0;1;3;0;Room_Type 4;0;9;21;0;0;0;155;1;Not_Canceled
2;0;0;1;0;Room_Type 1;12;6;30;0;0;0;101.68;1;Not_Canceled
2;0;2;1;0;Room_Type 1;32;9;5;0;0;0;94.5;3;Not_Canceled
2;0;0;2;0;Room_Type 1;182;9;30;0;0;0;117.9;2;Canceled
2;0;1;0;0;Room_Type 1;1;6;27;0;0;0;127;1;Not_Canceled
2;0;0;3;0;Room_Type 1;122;6;16;0;0;0;116.1;2;Not_Canceled
2;0;2;3;0;Room_Type 1;40;6;30;0;0;0;117.9;1;Not_Canceled
2;2;2;2;0;Room_Type 2;116;6;26;0;0;0;184.24;1;Canceled
3;0;2;2;1;Room_Type 4;123;8;13;0;0;0;155.7;1;Not_Canceled
3;0;2;5;0;Room_Type 4;40;4;22;0;0;0;135.76;0;Canceled
2;1;2;5;0;Room_Type 1;105;11;12;0;0;0;102.83;3;Not_Canceled
2;0;0;1;0;Room_Type 1;443;4;29;0;0;0;65;0;Canceled
2;0;2;3;0;Room_Type 1;2;11;14;0;0;0;103;1;Not_Canceled
2;0;0;3;0;Room_Type 1;317;9;1;0;0;0;106.2;1;Canceled
2;0;0;2;0;Room_Type 1;286;9;16;0;0;0;58.5;0;Not_Canceled
2;0;1;3;0;Room_Type 1;68;3;10;0;0;0;73.95;0;Canceled
2;0;0;3;0;Room_Type 1;148;5;5;0;0;0;105.3;0;Not_Canceled
3;0;2;0;0;Room_Type 4;68;4;24;0;0;0;133.2;2;Not_Canceled
2;0;0;2;0;Room_Type 1;30;3;30;0;0;0;85.5;0;Not_Canceled
1;0;0;1;0;Room_Type 1;14;11;3;0;0;0;112;1;Canceled
2;2;0;2;0;Room_Type 6;110;10;14;0;0;0;190.8;0;Canceled
1;0;2;3;0;Room_Type 1;117;6;5;0;0;0;110;0;Not_Canceled
2;0;1;4;0;Room_Type 4;85;7;13;0;0;0;91.48;1;Not_Canceled
2;0;0;2;0;Room_Type 1;1;10;20;0;0;0;135;2;Not_Canceled
1;0;1;2;0;Room_Type 1;25;10;17;0;0;0;129;2;Not_Canceled
2;0;2;4;0;Room_Type 1;289;12;28;0;0;0;70.55;2;Canceled
2;0;1;4;0;Room_Type 4;28;10;19;0;0;0;75;0;Not_Canceled
1;0;0;4;0;Room_Type 1;80;3;29;0;0;0;72.25;0;Not_Canceled
2;0;0;1;0;Room_Type 4;11;10;9;0;0;0;155;2;Not_Canceled
2;1;1;0;0;Room_Type 1;162;7;25;0;0;0;121.5;2;Canceled
2;0;2;5;0;Room_Type 1;155;6;28;0;0;0;90.95;2;Not_Canceled
1;0;2;2;0;Room_Type 1;82;5;22;0;0;0;109.65;0;Not_Canceled
3;0;2;4;0;Room_Type 4;27;4;15;0;0;0;142.72;0;Canceled
1;0;1;2;0;Room_Type 1;13;5;9;0;0;0;90;0;Not_Canceled
2;0;0;2;0;Room_Type 1;245;6;17;0;0;0;75;0;Canceled
2;0;0;2;0;Room_Type 1;11;11;18;0;0;0;111;1;Canceled
2;0;2;2;0;Room_Type 1;266;10;30;0;0;0;86.7;2;Not_Canceled
2;0;1;0;0;Room_Type 1;39;3;28;0;0;0;117.9;1;Not_Canceled
1;0;0;2;0;Room_Type 1;13;6;1;1;3;5;0;1;Not_Canceled
2;0;0;4;0;Room_Type 1;112;5;4;0;0;0;101.58;1;Not_Canceled
2;0;1;2;0;Room_Type 1;88;4;8;0;0;0;58.9;1;Not_Canceled
2;0;0;1;0;Room_Type 1;56;6;8;0;0;0;120;0;Not_Canceled
2;0;2;3;0;Room_Type 4;73;4;7;0;0;0;107.1;0;Canceled
2;0;1;1;0;Room_Type 1;80;5;2;0;0;0;126.9;1;Not_Canceled
2;0;0;3;0;Room_Type 4;130;9;29;0;0;0;139.5;2;Canceled
2;0;1;3;0;Room_Type 1;69;4;4;0;0;0;80.75;1;Not_Canceled
2;0;0;2;0;Room_Type 1;273;7;17;0;0;0;109;0;Canceled
2;0;0;1;0;Room_Type 1;55;4;6;0;0;0;104;0;Not_Canceled
1;0;0;3;0;Room_Type 1;4;11;1;1;1;5;65;1;Not_Canceled
2;0;0;3;0;Room_Type 4;97;5;24;0;0;0;140.4;0;Not_Canceled
2;0;0;3;0;Room_Type 1;44;2;17;0;0;0;75;0;Not_Canceled
2;0;0;1;0;Room_Type 1;31;4;14;0;0;0;94.5;0;Canceled
2;0;1;0;0;Room_Type 1;0;6;5;0;0;0;109;0;Not_Canceled
2;0;2;2;0;Room_Type 1;62;11;12;0;0;0;105;2;Not_Canceled
2;0;2;2;0;Room_Type 4;86;4;17;0;0;0;107.95;1;Not_Canceled
3;0;2;2;0;Room_Type 7;3;10;7;0;0;0;215.6;1;Not_Canceled
2;0;1;1;0;Room_Type 1;197;8;1;0;0;0;85.5;1;Not_Canceled
2;0;0;2;0;Room_Type 1;143;7;12;0;0;0;105.3;2;Not_Canceled
1;0;2;1;0;Room_Type 1;23;1;2;0;0;0;1;0;Not_Canceled
2;0;0;2;0;Room_Type 4;8;6;15;0;0;0;156;0;Canceled
1;0;0;2;0;Room_Type 1;13;11;16;0;0;0;73.15;1;Not_Canceled
2;0;1;2;0;Room_Type 1;280;9;19;0;0;0;110;0;Canceled
2;1;1;0;0;Room_Type 1;11;9;13;0;0;0;87.4;1;Not_Canceled
2;0;0;2;0;Room_Type 1;317;9;15;0;0;0;120;0;Canceled
2;0;1;2;0;Room_Type 1;185;12;16;0;0;0;79.2;0;Canceled
2;0;1;3;0;Room_Type 1;160;6;30;0;0;0;90.95;1;Not_Canceled
2;0;0;4;0;Room_Type 1;104;10;18;0;0;0;91.48;1;Not_Canceled
2;1;0;1;0;Room_Type 1;11;11;5;0;0;0;150;1;Canceled
2;0;0;1;0;Room_Type 1;2;3;22;0;0;0;89;0;Not_Canceled
2;0;1;4;0;Room_Type 1;14;8;17;0;0;0;91.43;1;Not_Canceled
2;0;0;2;0;Room_Type 1;22;5;20;0;0;0;140;0;Not_Canceled
1;1;2;5;0;Room_Type 1;37;10;24;0;0;0;87.78;0;Not_Canceled
2;0;0;2;0;Room_Type 1;292;7;21;0;0;0;115;0;Canceled
2;0;0;3;0;Room_Type 1;11;9;9;0;0;0;80.85;1;Not_Canceled
2;0;1;3;0;Room_Type 1;86;3;31;0;0;0;82.45;1;Not_Canceled
2;0;0;1;0;Room_Type 1;109;10;11;0;0;0;108;0;Canceled
2;0;1;1;0;Room_Type 4;72;4;2;0;0;0;96.3;1;Not_Canceled
2;0;1;5;0;Room_Type 1;196;8;22;0;0;0;99.45;0;Canceled
2;0;0;2;0;Room_Type 4;56;5;13;0;0;0;140.4;1;Not_Canceled
2;0;1;3;0;Room_Type 1;189;8;8;0;0;0;72.25;0;Not_Canceled
2;0;1;4;0;Room_Type 4;126;8;15;0;0;0;126;0;Not_Canceled
2;0;2;3;0;Room_Type 1;303;8;19;0;0;0;78;0;Canceled
1;0;2;2;0;Room_Type 4;81;11;6;0;0;0;146.6;1;Not_Canceled
2;0;1;2;0;Room_Type 1;54;10;10;0;0;0;118.8;0;Canceled
1;0;0;1;0;Room_Type 1;15;10;6;0;0;0;145;0;Canceled
2;0;0;4;0;Room_Type 1;86;4;6;0;0;0;84.58;0;Canceled
2;0;1;2;0;Room_Type 1;161;3;25;0;0;0;130;0;Canceled
2;0;4;10;0;Room_Type 4;147;8;3;0;0;0;118.88;1;Canceled
2;0;1;2;0;Room_Type 1;92;5;30;0;0;0;101.52;0;Not_Canceled
2;0;0;1;0;Room_Type 1;87;9;11;0;0;0;100;0;Canceled
2;0;2;1;0;Room_Type 1;109;3;20;0;0;0;58;0;Not_Canceled
2;0;0;4;0;Room_Type 1;127;3;23;0;0;0;61.5;2;Not_Canceled
2;0;1;2;0;Room_Type 1;418;9;26;0;0;0;107;0;Canceled
2;0;1;4;0;Room_Type 1;156;8;24;0;0;0;87.3;1;Not_Canceled
2;0;0;2;0;Room_Type 1;80;7;16;0;0;0;76.5;1;Canceled
2;0;2;2;0;Room_Type 1;211;12;16;0;0;0;63.75;0;Canceled
2;0;1;2;0;Room_Type 1;273;5;13;0;0;0;95;0;Canceled
2;0;2;1;0;Room_Type 1;58;11;19;0;0;0;75;1;Not_Canceled
2;0;0;3;0;Room_Type 1;433;9;8;0;0;0;70;0;Canceled
2;0;1;3;0;Room_Type 1;111;5;2;0;0;0;101.58;1;Not_Canceled
2;0;2;3;0;Room_Type 1;34;8;21;0;0;0;85;0;Not_Canceled
2;0;2;4;0;Room_Type 1;17;12;3;0;0;0;98.39;0;Not_Canceled
1;0;0;0;0;Room_Type 1;4;2;27;0;0;0;0;1;Not_Canceled
2;0;0;3;0;Room_Type 1;6;9;22;0;0;0;106.07;1;Not_Canceled
2;0;1;1;0;Room_Type 1;32;7;18;0;0;0;105;1;Not_Canceled
2;0;0;1;0;Room_Type 1;4;9;22;0;0;0;145;2;Not_Canceled
3;0;2;1;0;Room_Type 1;195;8;13;0;0;0;106.03;1;Canceled
2;0;2;2;0;Room_Type 1;119;8;13;0;0;0;114.3;1;Not_Canceled
1;0;1;1;0;Room_Type 1;13;12;5;0;0;0;88;0;Not_Canceled
2;0;0;2;0;Room_Type 1;59;10;15;0;0;0;89.25;2;Not_Canceled
2;1;2;5;0;Room_Type 4;78;3;20;0;0;0;86.32;1;Not_Canceled
2;0;0;3;0;Room_Type 1;335;10;13;0;0;0;90;1;Not_Canceled
2;0;2;5;0;Room_Type 1;103;8;22;0;0;0;55.96;0;Not_Canceled
1;0;0;2;0;Room_Type 1;0;6;8;0;0;0;109;1;Not_Canceled
2;0;0;1;0;Room_Type 1;118;3;1;0;0;0;86;0;Not_Canceled
2;0;1;5;0;Room_Type 1;56;9;5;0;0;0;118.95;0;Not_Canceled
2;0;0;2;0;Room_Type 1;107;6;10;0;0;0;130;1;Not_Canceled
2;0;1;3;0;Room_Type 1;70;4;14;0;0;0;90.56;1;Not_Canceled
2;0;0;2;0;Room_Type 1;76;4;1;0;0;0;87.3;1;Not_Canceled
2;2;2;2;0;Room_Type 6;144;5;27;0;0;0;177.65;1;Canceled
1;2;2;2;0;Room_Type 6;4;9;19;0;0;0;200.75;2;Not_Canceled
2;1;0;2;0;Room_Type 1;15;3;18;0;0;0;127;1;Not_Canceled
1;0;1;2;0;Room_Type 1;32;2;5;0;0;0;72.9;0;Canceled
3;0;1;1;0;Room_Type 4;49;5;7;0;0;0;159.3;0;Canceled
2;1;1;3;0;Room_Type 1;77;5;12;0;0;0;135.15;1;Not_Canceled
1;0;0;2;0;Room_Type 1;22;10;28;0;0;0;90;0;Not_Canceled
2;0;1;0;0;Room_Type 1;0;10;18;0;0;0;114;0;Not_Canceled
2;1;0;1;1;Room_Type 1;58;6;21;0;0;0;125.1;1;Not_Canceled
2;0;2;6;0;Room_Type 1;4;8;14;0;0;0;95.13;1;Not_Canceled
2;0;0;2;0;Room_Type 5;117;4;29;0;0;0;105.84;0;Canceled
2;0;1;3;0;Room_Type 1;36;12;26;0;0;0;102;0;Canceled
2;0;2;2;0;Room_Type 1;35;12;2;0;0;0;74.8;2;Not_Canceled
2;0;1;0;0;Room_Type 1;31;4;24;0;0;0;94.5;0;Canceled
2;0;2;4;0;Room_Type 1;79;6;16;0;0;0;120.6;0;Not_Canceled
2;0;1;2;0;Room_Type 1;1;10;9;0;0;0;139.33;0;Not_Canceled
2;0;0;2;0;Room_Type 1;21;9;3;0;0;0;105;0;Not_Canceled
2;0;0;2;0;Room_Type 1;12;9;14;0;0;0;100;1;Not_Canceled
2;0;1;0;0;Room_Type 1;33;2;8;0;0;0;80.3;1;Not_Canceled
1;0;0;2;0;Room_Type 1;164;10;2;0;0;0;100;0;Not_Canceled
2;0;0;3;1;Room_Type 1;78;3;24;0;0;0;105.3;1;Not_Canceled
2;0;0;4;0;Room_Type 4;18;5;31;0;0;0;112.8;0;Canceled
2;0;1;2;0;Room_Type 1;21;8;15;0;0;0;151;0;Canceled
1;0;1;3;0;Room_Type 1;0;11;9;0;0;0;91;1;Not_Canceled
3;0;2;1;0;Room_Type 4;152;8;13;0;0;0;146.7;1;Canceled
2;0;2;3;0;Room_Type 1;43;10;2;0;0;0;58.4;0;Not_Canceled
2;0;0;4;0;Room_Type 1;177;7;26;0;0;0;80.75;1;Canceled
2;0;1;1;0;Room_Type 1;47;5;21;0;0;0;76.5;0;Not_Canceled
3;0;0;3;0;Room_Type 4;57;9;7;0;0;0;140.13;0;Not_Canceled
2;0;2;4;0;Room_Type 1;60;11;15;0;0;0;76;1;Not_Canceled
2;0;0;1;0;Room_Type 1;0;9;16;0;0;0;200;0;Not_Canceled
2;0;0;2;0;Room_Type 1;102;10;16;0;0;0;101.5;0;Canceled
2;0;0;3;0;Room_Type 1;71;10;18;0;0;0;108;1;Not_Canceled
3;0;2;3;0;Room_Type 4;111;7;23;0;0;0;189;1;Not_Canceled
3;0;1;1;0;Room_Type 4;1;6;11;0;0;0;166;3;Not_Canceled
2;0;1;1;0;Room_Type 1;4;1;16;0;0;0;67.5;0;Not_Canceled
2;0;1;3;0;Room_Type 4;25;9;14;0;0;0;78.54;1;Not_Canceled
1;0;2;2;0;Room_Type 1;209;11;6;0;0;0;152.1;1;Canceled
1;0;2;1;0;Room_Type 1;93;10;15;0;0;0;115;0;Canceled
2;0;2;5;0;Room_Type 1;53;9;2;0;0;0;66.53;2;Not_Canceled
1;0;0;2;0;Room_Type 1;1;8;12;1;0;1;0;1;Not_Canceled
1;0;2;1;0;Room_Type 1;4;8;23;0;0;0;0;1;Not_Canceled
2;0;0;3;0;Room_Type 1;302;12;29;0;0;0;90.3;2;Canceled
2;0;0;2;0;Room_Type 1;122;4;15;0;0;0;85;0;Not_Canceled
1;0;0;1;0;Room_Type 1;16;3;11;0;0;0;75;0;Not_Canceled
2;0;2;4;0;Room_Type 1;28;8;28;0;0;0;115.37;1;Canceled
2;0;1;2;0;Room_Type 1;161;3;25;0;0;0;130;0;Canceled
3;0;0;2;0;Room_Type 4;57;12;9;0;0;0;126;2;Not_Canceled
2;0;1;0;0;Room_Type 1;19;6;12;0;0;0;94.35;1;Not_Canceled
3;0;2;4;0;Room_Type 4;109;7;6;0;0;0;118.46;4;Not_Canceled
1;0;0;2;0;Room_Type 1;239;6;15;0;0;0;90.6;0;Canceled
1;0;2;1;0;Room_Type 1;33;3;5;0;0;0;82.9;2;Not_Canceled
2;0;0;3;0;Room_Type 1;11;8;18;0;0;0;95.33;1;Not_Canceled
3;0;2;5;0;Room_Type 4;40;4;21;0;0;0;135.64;1;Not_Canceled
3;0;1;1;0;Room_Type 4;45;6;18;0;0;0;122.4;0;Not_Canceled
2;0;1;3;0;Room_Type 1;41;5;9;0;0;0;116.1;0;Canceled
2;0;0;4;0;Room_Type 1;167;6;28;0;0;0;62.18;0;Canceled
2;0;0;4;0;Room_Type 1;62;3;9;0;0;0;63.75;0;Canceled
1;0;1;4;0;Room_Type 1;113;9;7;0;0;0;118.8;0;Canceled
2;0;0;2;1;Room_Type 1;1;8;10;0;0;0;167;0;Not_Canceled
2;2;2;2;0;Room_Type 6;84;5;13;0;0;0;187.85;1;Not_Canceled
0;2;2;2;0;Room_Type 1;68;4;24;0;0;0;108.38;1;Canceled
2;0;0;1;0;Room_Type 2;9;9;7;1;0;3;0;1;Not_Canceled
3;0;1;2;0;Room_Type 1;245;10;28;0;0;0;128.7;0;Canceled
2;0;1;3;0;Room_Type 1;80;3;17;0;0;0;80.33;1;Not_Canceled
2;0;1;1;0;Room_Type 1;7;8;22;0;0;0;140;1;Canceled
2;1;1;1;0;Room_Type 1;128;8;8;0;0;0;76.5;2;Not_Canceled
2;0;2;1;0;Room_Type 1;100;5;1;0;0;0;105.3;1;Not_Canceled
2;0;2;1;0;Room_Type 1;118;4;3;0;0;0;87.3;1;Canceled
1;0;0;3;0;Room_Type 1;166;11;1;0;0;0;110;0;Canceled
1;0;0;1;0;Room_Type 1;41;9;4;0;0;0;83;0;Not_Canceled
2;0;2;2;0;Room_Type 1;174;8;13;0;0;0;99.45;1;Not_Canceled
2;1;2;1;0;Room_Type 1;27;12;27;0;0;0;104.5;3;Not_Canceled
2;0;2;6;0;Room_Type 1;2;11;16;0;0;0;92.54;2;Not_Canceled
1;0;0;3;0;Room_Type 1;37;10;13;0;0;0;95;0;Not_Canceled
1;0;0;2;0;Room_Type 1;188;6;15;0;0;0;130;0;Canceled
2;0;2;1;0;Room_Type 1;68;1;2;1;1;0;63;1;Not_Canceled
2;0;1;2;0;Room_Type 4;189;10;28;0;0;0;109.8;0;Canceled
2;0;1;0;0;Room_Type 1;10;5;16;0;0;0;103;0;Not_Canceled
3;0;2;1;0;Room_Type 4;19;2;20;0;0;0;130;1;Not_Canceled
2;0;0;2;0;Room_Type 1;61;3;23;0;0;0;117;0;Canceled
2;0;0;4;0;Room_Type 4;95;12;29;0;0;0;60.5;0;Not_Canceled
2;0;0;1;0;Room_Type 1;83;9;30;0;0;0;112.2;0;Not_Canceled
2;0;1;3;0;Room_Type 1;37;8;1;0;0;0;135.9;0;Canceled
2;0;1;0;0;Room_Type 1;19;7;25;0;0;0;151;1;Canceled
2;2;0;2;0;Room_Type 6;22;9;16;0;0;0;239;2;Not_Canceled
2;0;2;1;0;Room_Type 1;22;12;26;0;0;0;59.09;0;Not_Canceled
2;0;2;5;0;Room_Type 1;151;7;9;0;0;0;103.09;0;Canceled
2;0;2;1;0;Room_Type 1;26;2;28;0;0;0;87;0;Not_Canceled
3;0;1;0;0;Room_Type 4;27;4;17;0;0;0;137;0;Canceled
2;0;0;2;0;Room_Type 1;79;6;24;0;0;0;109;0;Not_Canceled
2;0;1;1;0;Room_Type 1;247;6;6;0;0;0;115;1;Canceled
2;0;2;3;0;Room_Type 4;189;7;17;0;0;0;99.45;1;Not_Canceled
2;0;0;2;0;Room_Type 1;320;8;18;0;0;0;115;1;Canceled
3;0;1;2;0;Room_Type 4;27;2;22;0;0;0;130;2;Not_Canceled
1;0;1;0;0;Room_Type 1;51;5;22;1;0;3;65;0;Not_Canceled
2;0;0;2;0;Room_Type 1;245;6;17;0;0;0;75;0;Canceled
2;1;1;2;0;Room_Type 1;52;7;8;0;0;0;132.9;0;Canceled
1;0;2;0;0;Room_Type 1;13;10;18;0;0;0;120;0;Not_Canceled
